Month,DayOfWeek,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1,Monday,0.7613180971092587,0.7316161280536253,0.7284032302335995,0.7510784299562272,0.8161222750321434,0.9233498504789008,1.5333612632004738,1.3939815951806531,1.1679923722569738,1.1490385865561028,1.0552173473367907,0.9630372285867006,0.9200213807948455,0.896560292396816,0.8786928822178239,0.8603169558371014,0.8972306092081883,1.316132387570246,1.3937735658253996,1.1211857673249446,1.0479132055301137,0.9803730081911558,0.8980164978835902,0.8152670432383236
1,Tuesday,0.6319256468984837,0.6001051793851697,0.6026334350286856,0.6357377823609728,0.726774737524762,0.8737888527957718,1.57796730550661,1.5080847393600518,1.1933169117423155,1.1287278808493688,1.0192623122840139,0.9493402421430259,0.9060833682422451,0.8685545735338052,0.8403684735080453,0.8458397767365915,0.9024490007546908,1.4794245914011326,1.6554741425781458,1.2445338405207287,1.1010355807539831,1.0032039385482447,0.887951034798904,0.817416652744252
1,Wednesday,0.5708071044235989,0.5508613875529736,0.5537412504166468,0.578395314508833,0.688317699157183,1.059225751154707,3.4613361268511023,3.484435979239084,1.580602828436741,0.8959725727346317,0.8443178896243037,0.7661044712156564,0.7227236798247703,0.6887443455073569,0.6535764963573163,0.6439160039998096,0.6664368363411266,0.9439550497595353,1.027714870720442,0.839182896052569,0.7895395457359173,0.7272187038712443,0.6613780296176374,0.6014951668968144
1,Thursday,0.727227921464313,0.6928071769680354,0.696481912166943,0.7244446900710575,0.8128340308021812,1.0498653231293595,1.9822043518794512,1.73982403671836,1.2523236629934413,1.109487358131756,1.0188148978983522,0.9338611084182783,0.8862852467898161,0.8576484050326477,0.816508766001089,0.8163565580342703,0.852038454255617,1.2165982787815752,1.2790687771630065,1.0361448621204201,0.9735221557721699,0.8960265566662106,0.8447542158435808,0.7848712528980669
1,Friday,0.7997032032729628,0.7478293664783676,0.7502152186211251,0.7728931121842436,0.8400905148029417,0.9853323385450402,1.6049160032467267,1.4175897154194919,1.167173626085317,1.0895473439972454,1.040526691208422,0.9690003197533801,0.9165607654403988,0.8856184768260787,0.8556600447654733,0.8427469274979709,0.8838721314432356,1.3034377587747707,1.325279374267232,1.092818667038346,1.0161762415039888,0.9766744008723529,0.8836015708909641,0.832736187063926
1,Saturday,0.8832483130519589,0.8181959234595813,0.7866070099776129,0.7812113094389928,0.8252381992799399,0.8909745509124244,1.0716671891376695,1.1843436022634075,1.3796527626050088,1.327342332500546,1.154705247192114,1.0624210356325223,0.9553683103921065,0.8941410418388445,0.869113097556419,0.8509501056024724,0.8747874492965639,1.1788212420877309,1.3420095184717247,1.1188859018324482,1.0221432710484568,0.9683129252993125,0.9110374374222231,0.848822223699918
1,Sunday,0.8504595751571788,0.7764396358730457,0.7459534147154482,0.7574614584636803,0.7937774123095269,0.86080671975537,1.0548787733165648,1.1631704744649507,1.2504650431604218,1.198249818346623,1.0979077526822134,1.027092904529715,0.9620320782513325,0.9246561730076227,0.8914443625412335,0.8875578740824007,0.9152680320551175,1.2694179836317427,1.5179261125546406,1.1794230625655242,1.07945955097178,1.0135154318618447,0.9195330745846158,0.8631032811174075
2,Monday,0.695877704207732,0.6439447105849327,0.6302138955847802,0.6631373386629238,0.7422878589082477,0.9045555792878284,1.465261038049614,1.330058279681445,1.163030543435145,1.1472553626460806,1.0772892319897478,1.044365788911604,1.0101608031001128,1.0070789979556343,0.9781527476886461,0.9914868946999054,0.9816007078997955,1.159887712446221,1.6473011320294146,1.144600738412718,1.028377017666982,0.951179324443902,0.8484118023983157,0.744484789308272
2,Tuesday,0.6433054101546157,0.5897205335642629,0.5691281300679107,0.6069658745728178,0.6977509599561162,0.8685786539761642,1.2875671238771735,1.1613988064800191,1.0941706656536931,1.083268804979154,1.0545159443696963,1.033732280159756,1.0122473266666578,1.0297476819599973,1.0190689587846444,1.038003769429897,1.0507544836691243,1.2298382651590718,1.879423402076507,1.2036993009686558,1.0923218120890053,1.0098246909612048,0.9120267127463312,0.8329404076775239
2,Wednesday,0.7095762532166483,0.6519946491726375,0.6317955376612906,0.6550103796626675,0.7386340730424584,0.8939127794197337,1.421602787456446,1.2069204731974335,1.0779351670301076,1.0671916271593758,1.0501339015751434,1.0435055772689315,1.0235891904910248,1.0171807631997112,1.0119032348421586,1.0402385359047321,1.0050235996617776,1.143810029921701,1.6878352447794092,1.19667955507504,1.1027521158543132,0.9851700406024132,0.8501532734550271,0.7874512103498196
2,Thursday,0.6545068726371075,0.624519999638588,0.6156912198817925,0.6445628785952431,0.7008811999912229,0.9064523665389248,1.6909746379103159,1.3866140726102598,1.1485777790972185,1.1091115846756134,1.0671671362871884,1.029683545039039,0.9974042871212113,0.9792200986396711,0.9544065807968879,0.9581549399217028,0.9773614081645562,1.1406473664033951,1.6036161855799178,1.1411430171967594,1.0475579517747269,0.9734271799922297,0.8727481125901757,0.7755695789162544
2,Friday,0.7191403435784518,0.6748485555702124,0.6581363963835983,0.6947570293553591,0.7594139075199643,0.8786821036823573,1.5978833294436383,1.3137766232711996,1.1969132733305599,1.1607796978214326,1.0889387220829825,1.0530791163965865,0.997371919107873,0.9931710484926586,0.9809337297439905,0.9671134742417631,0.9748455114610709,1.1591054377936296,1.4965449361244432,1.0520136781970757,0.9898529695284676,0.9317409260180007,0.8648922892715447,0.7960649815831397
2,Saturday,0.8193553374043441,0.7499338901478012,0.7318706443778147,0.7409836332347448,0.7831312066980468,0.8665150547389576,0.9815665390577005,1.072045499851507,1.219220269890929,1.3321562389393131,1.2405707009271651,1.0863008181348477,1.0266107411219554,1.0408009666277467,1.00513012453062,0.9898984145840368,0.9846909923800767,1.1438753798773813,1.5243426646542149,1.0803122826002938,1.0122252372835157,0.9247079978682115,0.8584435503228194,0.785311814745955
2,Sunday,0.764728181930477,0.6984508308095975,0.6487342985292051,0.6668966780394512,0.7003931490686669,0.7525290602331633,0.9213062942186215,1.0004983579743665,1.1709793799063768,1.2238990335262874,1.1481145456636468,1.096591998159909,1.0672527697202805,1.0480681174421032,1.0283723287799602,1.0167865707434052,1.0186607374846126,1.19231080499721,1.7557194031630823,1.2199462454902863,1.0884478917753897,1.0053711915015058,0.926349506540416,0.8395926243019793
3,Monday,0.585678392733747,0.5323027290546417,0.5066498823833819,0.5213860997795523,0.5843476975173704,0.7461503788271606,1.2377929762702955,1.1899125909847452,1.019731458312584,1.0218753561611909,1.0307220150996943,1.035896940941159,0.9897168884320899,1.0314120052118896,1.1000167363673048,1.2105137243345754,1.3592558785206696,1.3515920597745006,1.6410182693364082,1.4955535681832417,1.2519377735702986,0.9795395342772097,0.8312163026592343,0.745780741267056
3,Tuesday,0.5988661732368826,0.5396993040013635,0.5116470105028458,0.5228902803273513,0.5908416526265496,0.765682321746395,2.4193594353777423,2.1767238609343873,1.2642978684168615,0.9900336124592418,0.8968239997988282,0.902501515773827,0.8879724394598536,0.9561920408602331,0.9954428993330595,1.0763810306144403,1.146589997848579,1.058610852661196,1.2427501306219841,1.1669307046881419,0.9869042729454629,0.849615677990964,0.7705998552680475,0.6826430625057628
3,Wednesday,0.718058287843454,0.6535429993355654,0.6272001250700261,0.6324113761611319,0.6973956772672198,0.8446656331018668,1.4258243547819742,1.2348841148038614,1.0282580090415205,1.0404783928501635,1.0316192659952836,1.0183305757129644,1.0197897260184738,1.0761233503133263,1.1098922573836913,1.1729223393306147,1.2185989551441563,1.1416027202730694,1.360240759800409,1.2451763357087953,1.1400393449457378,0.9385202652526805,0.8675430253918209,0.7568821084721914
3,Thursday,0.7084747326600526,0.6315864012025068,0.5802416815352774,0.5860610930923457,0.6517225951743087,0.7733122472649088,1.1784823395236108,1.128631097158638,1.0200707470497923,1.035288765767612,1.0278213792563298,1.0378379770249118,1.034207282203909,1.0771061302307916,1.1153700486989475,1.1865162174254038,1.3189207051530332,1.2515082296822178,1.4404588580263138,1.3643430148285558,1.2306252970592875,0.9653785782568158,0.8814348540265414,0.7745997276978884
3,Friday,0.7197910017513399,0.6315932241338296,0.6068182772283836,0.6144651847195327,0.6697244250018569,0.8099521745354966,1.2304287499609796,1.1188510693722196,1.0602592241359823,1.1348682404685453,1.0975637323022638,1.0707478877893828,1.0634109900613884,1.109524942330649,1.1457185821789597,1.210768964147586,1.255823716392735,1.1546313628696572,1.2710400289342445,1.2015203395468044,1.1118758497012389,0.9917212323318655,0.9069852304029159,0.811915569702143
3,Saturday,0.7305808874042299,0.6648829782213109,0.6314802481501486,0.6282834533355008,0.6765626065204965,0.7249172745436334,0.8065488145743638,0.8689240708790661,1.0155235433240164,1.143445679135355,1.1454845797651698,1.1650429228437629,1.147246592655133,1.1614937254511224,1.1887294104074129,1.3307728209511722,1.380713300575276,1.2737339465417874,1.2186584579240762,1.2447614203082473,1.147372450718702,0.9717249372020702,0.9015464809561018,0.8315693976118431
3,Sunday,0.8139723452270512,0.7342848697110839,0.6751582714266327,0.6487416767568547,0.6620827688449699,0.6928252853958439,0.8087795391968945,0.8700436018292742,0.9830423756025229,1.0822028737315776,1.1073382646222294,1.0749660908597638,1.0447207578649684,1.0390583895874042,1.0518194341934273,1.1409810185835634,1.2677075827663218,1.1969970325684445,1.3103825046630877,1.542291012265189,1.3583607178246946,1.0960135280671006,0.952382722977662,0.845847335433438
4,Monday,0.6251836675466053,0.5605134715160345,0.5204751475826996,0.5167157888262863,0.5821701455790537,0.7392559890755649,1.1183054440550335,1.027089101223041,0.9770642598570252,0.9879733193158197,0.953055103627416,0.9830377194761115,1.0260051143423574,1.1348650734237744,1.2796580444223205,1.5676756649750192,1.8857220284777192,1.5437356993973685,1.1579747511779228,1.136110505159028,1.206754160808685,0.9418231544594817,0.8206241957787936,0.7082124498968386
4,Tuesday,0.6834886011339862,0.582746690518389,0.5414811522499402,0.5337786046963041,0.6100629416364385,0.7586876994153607,1.02626520188858,0.9873818948222868,0.9575245970886047,0.9844438096729616,0.9995048047177001,1.03108260276405,1.053607922242209,1.1591407644976968,1.285028448913824,1.6192554865762374,1.7486371100888594,1.4656545125083682,1.1523117017181843,1.0841004816297992,1.1912479472556365,0.9617067363101665,0.8524682010735481,0.7303920865808695
