Month,DayOfWeek,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1,Wednesday,0.5713794183813201,0.5487309858208707,0.5526488783462977,0.5747548334801497,0.6834462134259396,1.05394322697469,3.4539989815990904,3.482855766930601,1.5859327566580625,0.901898859353309,0.8418797596272476,0.7627533994310266,0.7199730268168442,0.6860983252893055,0.6492249290980747,0.6399877440285101,0.6678047809590423,0.9517465073306657,1.0323797492674356,0.8505744672702146,0.7983459461427909,0.7319678054716131,0.6599388582733772,0.5977347800235199
1,Thursday,0.7230769368227966,0.6864942187261273,0.6904183907142224,0.7205251528523959,0.8096874868769862,1.0621854385700003,1.9870034139938904,1.7554558231334942,1.2578150617797978,1.1241787785567947,1.01027057308815,0.9269194445759847,0.8792504045238769,0.850108602710645,0.8123036015357163,0.8110813184574572,0.8453052446487141,1.207058148687877,1.275956315888697,1.0394981491524877,0.9886983489350143,0.9036960660890604,0.8462273178481027,0.786785761831709
1,Friday,0.7969099623838182,0.7434499700745965,0.7474951983100473,0.7684480271942687,0.8352790733116875,0.9864301163608691,1.6115268818940711,1.4293947196045202,1.1728497361215262,1.0948276993168125,1.0359417721289021,0.9662281981071804,0.9123079702502127,0.882949786888737,0.8548754184762368,0.8397118683241874,0.8794132400481632,1.308813006095093,1.325526823355339,1.0961599601129193,1.0221104827729595,0.976934730323164,0.8823442137995976,0.830071144745089
1,Saturday,0.8830303940714035,0.8165339742626808,0.7855640678984527,0.780206299133744,0.8223423964748885,0.8898402683891642,1.0736317660607881,1.1850182765009263,1.3797506384257174,1.3275749837264033,1.1533223173601723,1.0604376345701265,0.9556857443292773,0.8931700966401281,0.8665815432376945,0.8485053327324621,0.8724650743578188,1.1798607981573281,1.3438235441390016,1.123228681588303,1.0298683090481198,0.972034449952431,0.9107205447899455,0.8468028641530218
1,Sunday,0.8474226353107347,0.7710251023144045,0.7404010912147629,0.7531756787020419,0.787499570326375,0.8554223769857432,1.0566158801122048,1.1613374984766116,1.2511845971640498,1.1978863182543062,1.0967145852581843,1.0248669053395152,0.9577940712331164,0.921320249033625,0.8905712419703113,0.8878463299622615,0.91714538384698,1.2693340110892253,1.5205508988772238,1.1893365943391412,1.0892898250160672,1.0245919142194366,0.9254451158348013,0.8632221251188764
2,Monday,0.6909360400194289,0.6392893446768452,0.6254988658157363,0.6574663375112042,0.734891313600697,0.8959905459607518,1.4553011221664172,1.3249375322353696,1.1597822766808712,1.1425667115666767,1.0730735141685401,1.0441405487148416,1.0128340585769868,1.0117524523918018,0.9887382763403655,1.0055332168269882,0.9951377796027101,1.1641988352703765,1.6589435311437484,1.1414550607652363,1.024731726614022,0.9555389753784369,0.8522155400770145,0.745046393894934
2,Tuesday,0.6371182826550509,0.5791500655350728,0.5599942616055766,0.5975859618005518,0.6877935221352045,0.8585368398401075,1.2837831669416313,1.1572672200739471,1.0804249020234362,1.0730693237171753,1.0479038558097984,1.031283378870971,1.0165722222584497,1.037731247513906,1.0314085802038435,1.0489367668059968,1.0663710524084955,1.2358936571178916,1.8841235580653788,1.2204312925081349,1.1022725346096915,1.0150698062639794,0.9157538489628504,0.8315246522728608
2,Wednesday,0.7029005389007668,0.6446619834240129,0.6256839794793214,0.6522407607767212,0.733992162384623,0.8926495177847606,1.4273881690315835,1.2135983144467855,1.0767765347800655,1.0618053434521746,1.047206878879335,1.04239249162659,1.021178127151591,1.0192213116875721,1.0151834385078504,1.0432311268254553,1.0082569329764821,1.1462279534712767,1.6896635623359615,1.1985650019930527,1.1064704329324797,0.9966092218811313,0.8532026028751728,0.7808936123952354
2,Thursday,0.6477237200293828,0.6168564943432963,0.6117627920808688,0.6410744559981902,0.6978372099525452,0.9036898840191444,1.694555787986081,1.387652601372046,1.146449023579978,1.103899834022576,1.062997709867396,1.0271282855523387,0.996352563499709,0.9804614324893817,0.9592325895274091,0.9685964613511527,0.9850366141622207,1.143886921843188,1.6074748301463802,1.1452289751338876,1.0490891575819656,0.9753677302269543,0.8776113484839627,0.7700335767499434
2,Friday,0.7123991490386544,0.667242002167543,0.6502027054148437,0.6865692610283788,0.7511439810540681,0.8650002006984304,1.5758640067434673,1.3027535824669851,1.1862481435395176,1.1554208646088386,1.0856982298398425,1.0507164933970214,0.998605145907759,0.999749126961827,0.9968289647974953,0.9848472684943603,0.9883093164211456,1.1721591137157308,1.5053887528599526,1.0652570946895195,0.9996889174326656,0.9422490266126119,0.8642174768193313,0.7934411752900092
2,Saturday,0.8129561788080796,0.7421696394610934,0.7232078153464256,0.732112185454327,0.7737833563549736,0.8593678057373931,0.977014393529918,1.068236141973455,1.21624727243609,1.3267191159690108,1.234984885792645,1.0815606670270055,1.0279742958380877,1.0443737112886113,1.013752927752087,0.9985386263087301,0.9932536584389327,1.1481192320781535,1.5246972153824594,1.0859487918643524,1.022080755910556,0.9389946549756771,0.8682721758452945,0.7856344964266411
2,Sunday,0.7674516423920541,0.6975609482521719,0.6482639492560583,0.6647523653025399,0.6976955475668369,0.7512660748035692,0.9189768208763538,0.9961022281794881,1.1665722602029085,1.2188640939503217,1.1462141138598037,1.092946435081068,1.0646132793440526,1.045432877004268,1.0284733633564582,1.0182438154419065,1.0183447649279052,1.1925162781046172,1.7549731642616384,1.2254931101975806,1.0965806165770273,1.0188158625292332,0.9312926581682154,0.8385537303639229
3,Monday,0.5773231229925566,0.5234095842888943,0.49671001264555403,0.5120194000557262,0.5739918002921032,0.7394556594212439,1.2244080625357858,1.17551600290266,1.0133834664739725,1.0189928260210597,1.0276150730104685,1.0355269644240457,0.9915094137423185,1.025410521223404,1.0878728218569063,1.1874205825528097,1.3276300762101305,1.3567546548192422,1.659880525540651,1.5083298376898748,1.3224861220403128,1.0195317164578979,0.8424817129367386,0.7523400398656448
3,Tuesday,0.5975600036278387,0.5394706103838638,0.5108656517879473,0.5241017663726835,0.5913596974602381,0.7824478566893773,2.4275517860234763,2.1827936007123756,1.2656539866374608,0.9856947723393789,0.8872154414007856,0.8918546775758341,0.8827960742387723,0.9478992889985791,0.977405710547941,1.0680357177211677,1.1383938018925226,1.0613077259222818,1.2496035486858703,1.175133913970752,0.9988209524175973,0.8605013563169741,0.7703110871698186,0.6832209711064633
3,Wednesday,0.7168530162886022,0.6481189776165848,0.6225980213318454,0.6296027641264459,0.692413674700088,0.8471618344528618,1.4314140395304418,1.232886237311415,1.0254994956756873,1.0375517737193383,1.0315771401592375,1.0177479236860743,1.0107946863531987,1.0702062364529905,1.0953666545056548,1.1564006266497842,1.2069274846020128,1.1444771122604458,1.378569435800588,1.262089834109492,1.1639976822542224,0.9552717986136445,0.8682533210292507,0.7542202287700925
3,Thursday,0.6973255335208949,0.6125626157963356,0.565703698620737,0.5725742812049681,0.6380378096479792,0.7658769642489536,1.190412063404927,1.1279592396898372,1.0212207507033555,1.0356566938859535,1.0320798737391066,1.042707404103479,1.041935428532217,1.0866842791463667,1.1276247169422906,1.2124133671858919,1.3192033212104577,1.2543831057434982,1.4463219652782544,1.3626140808344198,1.2311723735675566,0.9691895972003018,0.8854045151993414,0.7609363205928772
3,Friday,0.6967172764852438,0.608160483928176,0.5870853602698235,0.5958043220770733,0.656966033452782,0.8047756522561604,1.225401070093488,1.107411332500704,1.0547880127173022,1.1312208051281942,1.0954679025694711,1.073206174641493,1.0679180469181608,1.1222954773610094,1.1681345162115508,1.2466825597117757,1.2873624495639444,1.1780916737784104,1.2843443473998963,1.2039906017502413,1.1102230687048171,0.9927750417568622,0.9008132108608685,0.8003645798625516
3,Saturday,0.709943166566488,0.6499917365724566,0.6151274410007064,0.6185633425932846,0.6676007322344203,0.7162086341764837,0.7998576795663859,0.8562216240740488,1.008816077156202,1.1417551520102236,1.1453679014788904,1.1630021611231525,1.1458731811248577,1.1579998926280755,1.1912725573150282,1.335226728451139,1.3839104223400975,1.2864925065975839,1.239829931292495,1.2606474527063516,1.1668928143971014,0.9886806832644013,0.9135708638913481,0.8371473174387796
3,Sunday,0.8076087435269004,0.7276354846030063,0.6681046379649667,0.6400614614012214,0.6499755017636877,0.6858037420736003,0.7995398162318932,0.8610619444811973,0.9764503586999014,1.0789505204473993,1.1056908904250513,1.07605892534168,1.0500070303891995,1.0432875141435278,1.0606921627798573,1.1558118722575192,1.2652243232577367,1.203592039004405,1.3265261394989862,1.5481875586031266,1.3661272229468373,1.1032123803344347,0.9539234558762976,0.8464662739475667
4,Monday,0.6100209400451939,0.5460066791030919,0.5053949898156533,0.5050750327813123,0.5686093581719026,0.7258225324027916,1.119004019460244,1.031929997971701,0.9760517873314154,0.9781086539807512,0.9483526497870286,0.9763717443657566,1.0194288195585164,1.1345447896996688,1.2833248106682817,1.5909863532611332,1.923901647493051,1.556956637251569,1.1656491842524004,1.1482572340285733,1.2177336186283556,0.9440560838973051,0.8230437626947238,0.7013686733495786
4,Tuesday,0.6685252033227503,0.5677206106206236,0.5261253424955421,0.5202539903448876,0.5921976253642413,0.747775409907363,1.0055408167703215,0.9712521202104988,0.9453137911538294,0.9751402600791544,0.9895446440220935,1.0264428304266515,1.0437959378941417,1.160283564563128,1.2935502109337624,1.6547557952420302,1.7742182403340145,1.474361762275475,1.1589005349454182,1.097186100117427,1.215422084982386,0.9826034010350976,0.8690905927891096,0.7399991301700517
4,Wednesday,0.6387621557144495,0.5798890738407004,0.5296690410885051,0.5348716531771651,0.5727186343817181,0.7031343716093728,0.9811910746898315,0.9079501573587984,0.8899431890933842,0.9161449453119209,0.9306475634658024,0.9822423797232912,1.0108163114019424,1.0968615849097294,1.2152277490615755,1.4728783518771862,1.7312567812544226,1.549407967005196,1.251699946760835,1.2606225612755835,1.5095122888123624,1.037125893777757,0.9225066885913188,0.774919635817154
4,Thursday,0.687585377568992,0.601521381438874,0.5246415419572201,0.5084534438884138,0.5559548831711231,0.7081066534036907,0.9340859617985414,0.9121747987559147,0.9150635839331764,0.9186609390595779,0.967606770930918,0.9785078470715282,1.018623807268974,1.1300055527356592,1.2799771077401048,1.5818006533832512,1.9135749057227243,1.5645769530810871,1.1893619123212822,1.1695764591260744,1.2846645704805673,0.9815874010812505,0.8983576847476912,0.7755298093333651
4,Friday,0.7028791312962043,0.6369176649766717,0.5893132720382596,0.5800403891555791,0.6263239354043071,0.767843223584751,0.9759170112923405,0.9093355557103032,0.9208727472038707,0.9807151890630299,0.9911741383609369,1.0211492714002997,1.0688345325033863,1.146306234261595,1.3214666789466472,1.5400263720070355,1.7377220785813925,1.3864038151803022,1.1373029119278295,1.106330404857481,1.1882228996178978,0.9940045241245459,0.8877976678519843,0.7831003506533474
4,Saturday,0.757284207073744,0.666511780462472,0.5964849942600995,0.5695347947302246,0.5817525829552288,0.6545673208331055,0.8043240583829879,0.8308915978789699,0.9497075384026676,1.0552943748975017,1.1000382660033892,1.1649538074673371,1.1570272781938447,1.2083583884546,1.2719892855190509,1.384382004045263,1.4901601705570435,1.283742415131471,1.1418028754168261,1.1571366096320996,1.3118132619034604,1.077269993986771,0.9369977587055158,0.8479746351063249
4,Sunday,0.8013717637768628,0.7267550341248803,0.6724981668452819,0.6456946246263185,0.6495933216763495,0.6939951491905918,0.7741891815669243,0.8287980145524284,0.951092560212082,1.0140944215691805,1.0277940098144285,1.0517006035309382,1.0277669355293586,1.076473574369677,1.1389880985955216,1.215689548197868,1.328318574087653,1.2513734559196796,1.2017733656720628,1.3602933047549215,1.6493654464436798,1.1285374245586328,0.9608393028371596,0.8230041175475211
5,Monday,0.6857724544358943,0.6068869760566622,0.5437505119014653,0.5360047114435816,0.5951395687157026,0.6810688112575422,0.7891121971005901,0.7890419934710625,0.8257584917140217,0.8572565201620924,0.919059115356264,0.9871098335783961,1.0808082777879617,1.2860602893169577,1.4773885809896372,1.842938879940093,1.9427216387087214,1.5547061783094187,1.1866753511156527,1.0814869128733957,1.1233984797014007,0.9618599281582859,0.871858875103843,0.7741354228013589
5,Tuesday,0.6309266872290779,0.5856836018962277,0.5392959122886276,0.5305136758532721,0.5689515684980625,0.6558374384450031,0.7864888136610254,0.7739814105860287,0.7918580482589442,0.8294426904443754,0.8812620476103352,0.9637151773659707,1.0658346896604949,1.268866677014352,1.6124560693075232,2.001767199630258,2.1676723865085843,1.5471720036731393,1.141815602517089,1.060298967168067,1.0911408496258792,0.9390749689786227,0.838495469708308,0.7274480440707332
5,Wednesday,0.5848626404602791,0.5401665885963923,0.5059135395044416,0.49594274207523653,0.5353718881932773,0.5970854941394322,0.7059106638949827,0.7024780942882072,0.7212754992776923,0.7521867874826235,0.7933957845078811,0.8777207616732717,0.988398429311844,1.2136767012824463,1.6457445898813357,2.247788240119444,2.752648398474716,2.0168616657800205,1.1209609984116042,0.9563247894940365,0.9811518934753177,0.8359669123294782,0.7560915624321299,0.6720753349139096
