SettlementPoint,Year,Month,AveragePrice
HB_BUSAVG,2016,1,19.20930107526882
HB_BUSAVG,2016,2,15.288247126436781
HB_BUSAVG,2016,3,16.755625841184386
HB_BUSAVG,2016,4,18.289347222222222
HB_BUSAVG,2016,5,18.159583333333334
HB_BUSAVG,2016,6,23.909819444444445
HB_BUSAVG,2016,7,27.18747311827957
HB_BUSAVG,2016,8,30.567137096774193
HB_BUSAVG,2016,9,26.86175
HB_BUSAVG,2016,10,25.204838709677418
HB_BUSAVG,2016,11,19.244902777777778
HB_BUSAVG,2016,12,25.3183064516129
HB_BUSAVG,2017,1,23.252782258064517
HB_BUSAVG,2017,2,20.11782738095238
HB_BUSAVG,2017,3,22.569892328398385
HB_BUSAVG,2017,4,23.705083333333334
HB_BUSAVG,2017,5,25.087352150537633
HB_BUSAVG,2017,6,27.66915277777778
HB_BUSAVG,2017,7,31.454274193548386
HB_BUSAVG,2017,8,27.50701612903226
HB_BUSAVG,2017,9,24.184166666666666
HB_BUSAVG,2017,10,23.563279569892472
HB_BUSAVG,2017,11,22.677458333333334
HB_BUSAVG,2017,12,21.18795698924731
HB_BUSAVG,2018,1,37.869677419354836
HB_BUSAVG,2018,2,21.854315476190475
HB_BUSAVG,2018,3,22.561978465679676
HB_BUSAVG,2018,4,23.142958333333333
HB_BUSAVG,2018,5,34.00524193548387
HB_BUSAVG,2018,6,29.966125
HB_BUSAVG,2018,7,78.85944892473118
HB_BUSAVG,2018,8,31.661559139784945
HB_BUSAVG,2018,9,27.175444444444445
HB_BUSAVG,2018,10,29.95782258064516
HB_BUSAVG,2018,11,30.6445
HB_BUSAVG,2018,12,30.26818548387097
HB_BUSAVG,2019,1,24.592567204301076
HB_BUSAVG,2019,2,21.18636904761905
HB_BUSAVG,2019,3,27.5657200538358
HB_BUSAVG,2019,4,22.613180555555555
HB_BUSAVG,2019,5,23.959932795698926
HB_BUSAVG,2019,6,25.085541666666668
HB_BUSAVG,2019,7,29.72962365591398
HB_BUSAVG,2019,8,126.38408602150538
HB_BUSAVG,2019,9,79.615625
HB_BUSAVG,2019,10,28.247056451612902
HB_BUSAVG,2019,11,23.468374999999998
HB_BUSAVG,2019,12,18.71508064516129
HB_HOUSTON,2016,1,19.565725806451614
HB_HOUSTON,2016,2,15.464540229885058
HB_HOUSTON,2016,3,17.124952893674294
HB_HOUSTON,2016,4,18.940958333333334
HB_HOUSTON,2016,5,19.174086021505378
HB_HOUSTON,2016,6,26.255736111111112
HB_HOUSTON,2016,7,29.538924731182796
HB_HOUSTON,2016,8,32.97254032258064
HB_HOUSTON,2016,9,28.742416666666667
HB_HOUSTON,2016,10,28.249556451612904
HB_HOUSTON,2016,11,20.365930555555554
HB_HOUSTON,2016,12,25.72766129032258
HB_HOUSTON,2017,1,24.781854838709677
HB_HOUSTON,2017,2,23.265714285714285
HB_HOUSTON,2017,3,28.213297442799462
HB_HOUSTON,2017,4,32.29573611111111
HB_HOUSTON,2017,5,31.53317204301075
HB_HOUSTON,2017,6,33.168347222222224
HB_HOUSTON,2017,7,34.37583333333333
HB_HOUSTON,2017,8,29.401720430107527
HB_HOUSTON,2017,9,26.542944444444444
HB_HOUSTON,2017,10,30.141236559139784
HB_HOUSTON,2017,11,26.091055555555556
HB_HOUSTON,2017,12,21.549005376344088
HB_HOUSTON,2018,1,37.94478494623656
HB_HOUSTON,2018,2,22.164107142857144
HB_HOUSTON,2018,3,23.782543741588157
HB_HOUSTON,2018,4,24.652694444444446
HB_HOUSTON,2018,5,34.14755376344086
HB_HOUSTON,2018,6,30.628486111111112
HB_HOUSTON,2018,7,79.03404569892473
HB_HOUSTON,2018,8,31.944247311827958
HB_HOUSTON,2018,9,27.58136111111111
HB_HOUSTON,2018,10,30.981935483870966
HB_HOUSTON,2018,11,31.31923611111111
HB_HOUSTON,2018,12,30.333548387096773
HB_HOUSTON,2019,1,25.42603494623656
HB_HOUSTON,2019,2,21.5078125
HB_HOUSTON,2019,3,27.832032301480485
HB_HOUSTON,2019,4,23.870652777777778
HB_HOUSTON,2019,5,24.794274193548386
HB_HOUSTON,2019,6,26.897680555555556
HB_HOUSTON,2019,7,29.91100806451613
HB_HOUSTON,2019,8,126.62533602150538
HB_HOUSTON,2019,9,80.58765277777778
HB_HOUSTON,2019,10,30.393602150537635
HB_HOUSTON,2019,11,24.0215
HB_HOUSTON,2019,12,18.6725
HB_HUBAVG,2016,1,19.25869623655914
HB_HUBAVG,2016,2,15.269252873563218
HB_HUBAVG,2016,3,16.654347240915207
HB_HUBAVG,2016,4,18.16686111111111
HB_HUBAVG,2016,5,18.247002688172042
HB_HUBAVG,2016,6,24.297847222222224
HB_HUBAVG,2016,7,27.459206989247313
HB_HUBAVG,2016,8,30.94853494623656
HB_HUBAVG,2016,9,27.18813888888889
HB_HUBAVG,2016,10,25.769059139784947
HB_HUBAVG,2016,11,19.489305555555557
HB_HUBAVG,2016,12,25.362594086021506
HB_HUBAVG,2017,1,23.325551075268816
HB_HUBAVG,2017,2,20.352127976190477
HB_HUBAVG,2017,3,23.233230148048452
